Location,Area (sqft),Bedrooms,Bathrooms,Parking Spaces,Age of Property (years),Floor,Total Floors,Furnishing,Property Type,Nearby Metro (Y/N),Price (Lakhs)
Malleswaram,3668,4,2,2,13,3,5,Unfurnished,Independent House,Y,270.98
Yelahanka,3856,4,4,2,5,3,5,Semi-Furnished,Apartment,Y,179.85
Marathahalli,648,4,3,2,14,2,5,Fully-Furnished,Apartment,Y,27.94
BTM Layout,1288,4,4,2,10,4,5,Fully-Furnished,Apartment,Y,61.0
Koramangala,1109,4,3,2,17,7,9,Fully-Furnished,Independent House,N,69.16
Hebbal,1295,1,5,3,21,2,6,Semi-Furnished,Independent House,N,89.61
Marathahalli,1006,2,1,3,23,1,2,Fully-Furnished,Apartment,N,51.39
Sarjapur Road,4031,1,5,3,12,3,7,Unfurnished,Apartment,N,267.12
Basavanagudi,2604,5,2,0,30,2,5,Unfurnished,Independent House,Y,154.52
Kengeri,1738,3,2,1,20,1,2,Fully-Furnished,Independent House,Y,124.64
Indiranagar,847,3,5,1,12,1,1,Fully-Furnished,Independent House,Y,75.89
Bellandur,4908,3,1,2,9,5,8,Unfurnished,Apartment,N,205.45
JP Nagar,1841,4,4,0,16,4,7,Semi-Furnished,Apartment,N,92.33
Indiranagar,3759,4,3,3,19,3,4,Semi-Furnished,Apartment,N,300.28
Ulsoor,2002,4,5,2,17,1,1,Semi-Furnished,Apartment,N,132.09
Malleswaram,1606,2,5,0,30,1,1,Semi-Furnished,Independent House,N,80.67
Yelahanka,2113,5,3,3,30,1,9,Fully-Furnished,Apartment,N,163.02
Malleshwaram,3599,1,4,1,8,1,2,Fully-Furnished,Independent House,Y,247.11
Whitefield,1928,3,1,3,17,7,9,Unfurnished,Apartment,N,123.63
Malleswaram,1338,1,1,3,14,5,7,Fully-Furnished,Apartment,N,67.41
HSR Layout,2379,1,3,2,24,1,7,Unfurnished,Apartment,N,116.93
JP Nagar,3048,4,4,3,20,2,10,Semi-Furnished,Independent House,Y,197.45
Malleswaram,3142,2,3,0,2,2,10,Unfurnished,Apartment,Y,228.48
Bannerghatta Road,2730,2,3,2,26,5,7,Unfurnished,Apartment,Y,164.53
Yelahanka,1503,1,2,1,13,6,8,Semi-Furnished,Apartment,Y,115.92
Koramangala,1531,4,4,1,25,4,5,Fully-Furnished,Independent House,N,82.37
Sarjapur Road,1399,2,2,0,28,2,6,Unfurnished,Independent House,Y,96.34
Jayanagar,870,2,2,0,26,1,9,Unfurnished,Apartment,N,74.67
Jayanagar,2668,2,3,1,24,4,4,Fully-Furnished,Apartment,Y,172.39
Bellandur,4206,5,3,3,23,1,1,Unfurnished,Independent House,Y,249.7
Electronic City,3992,2,2,1,8,6,9,Unfurnished,Independent House,N,248.92
Basavanagudi,1712,1,1,3,6,1,2,Semi-Furnished,Apartment,N,80.1
BTM Layout,4579,1,3,1,9,9,10,Unfurnished,Independent House,Y,285.31
Indiranagar,2354,4,4,1,4,2,2,Unfurnished,Independent House,N,210.54
Basavanagudi,2791,5,1,3,2,4,10,Unfurnished,Apartment,Y,170.23
Whitefield,2609,1,4,1,3,4,6,Unfurnished,Apartment,Y,205.65
Koramangala,743,5,1,1,30,7,7,Fully-Furnished,Independent House,N,57.91
Jayanagar,1152,2,4,1,2,2,2,Unfurnished,Apartment,Y,79.38
Malleswaram,1571,4,3,1,2,1,1,Fully-Furnished,Independent House,Y,87.91
Bannerghatta Road,4704,3,1,0,10,6,9,Semi-Furnished,Independent House,Y,360.47
Koramangala,4705,2,5,1,30,1,6,Fully-Furnished,Apartment,N,318.41
Koramangala,2050,5,2,1,21,5,6,Fully-Furnished,Apartment,Y,168.13
Kengeri,4604,1,3,1,30,1,3,Semi-Furnished,Apartment,N,218.73
Marathahalli,4487,1,2,2,14,6,7,Semi-Furnished,Independent House,Y,339.66
Bellandur,3464,3,5,1,7,5,6,Semi-Furnished,Apartment,N,269.18
Basavanagudi,3041,5,3,0,25,6,8,Fully-Furnished,Independent House,N,197.4
Electronic City,797,5,1,2,25,1,5,Fully-Furnished,Apartment,N,58.9
Bellandur,898,1,1,3,13,2,8,Fully-Furnished,Independent House,N,64.26
Bannerghatta Road,3499,3,2,1,22,2,2,Fully-Furnished,Apartment,Y,246.49
Jayanagar,3604,4,3,0,24,1,10,Unfurnished,Apartment,N,218.08
Bannerghatta Road,2889,5,5,2,2,2,3,Semi-Furnished,Apartment,Y,214.63
Malleshwaram,3659,2,5,3,12,2,8,Unfurnished,Apartment,N,328.01
Indiranagar,3802,3,4,0,4,3,7,Unfurnished,Independent House,N,371.3
Whitefield,1818,4,3,1,12,1,3,Semi-Furnished,Apartment,N,118.21
Koramangala,3922,4,1,1,12,1,3,Semi-Furnished,Independent House,Y,318.77
Indiranagar,4806,1,4,0,0,2,2,Semi-Furnished,Apartment,N,380.77
Basavanagudi,1720,2,3,3,20,7,7,Fully-Furnished,Independent House,N,83.22
Sarjapur Road,2455,4,3,2,1,1,1,Semi-Furnished,Apartment,N,172.89
Indiranagar,2432,4,4,1,15,2,5,Fully-Furnished,Independent House,N,189.61
Rajajinagar,1287,3,1,3,12,10,10,Unfurnished,Independent House,Y,65.05
Malleswaram,2977,4,5,0,29,3,4,Fully-Furnished,Apartment,Y,195.32
Bellandur,3890,4,2,0,22,3,6,Semi-Furnished,Independent House,Y,212.23
Whitefield,4146,4,5,1,7,4,5,Fully-Furnished,Apartment,N,199.32
Koramangala,1564,4,4,0,13,1,2,Semi-Furnished,Independent House,N,153.15
Bellandur,2041,3,4,0,6,4,8,Fully-Furnished,Independent House,N,155.72
Kengeri,2875,2,1,3,14,3,6,Fully-Furnished,Independent House,N,185.61
Rajajinagar,1097,4,1,2,19,4,7,Semi-Furnished,Apartment,N,79.64
Koramangala,1648,3,4,1,23,3,3,Fully-Furnished,Independent House,N,94.08
Rajajinagar,2382,4,5,1,30,1,3,Fully-Furnished,Independent House,Y,168.83
Electronic City,2831,1,5,0,24,8,9,Unfurnished,Apartment,N,131.84
Malleswaram,2523,5,2,0,27,1,3,Unfurnished,Independent House,N,198.74
Electronic City,1336,3,4,1,4,6,7,Semi-Furnished,Apartment,N,67.89
Bannerghatta Road,4298,1,1,2,29,2,4,Unfurnished,Independent House,N,215.69
HSR Layout,4997,4,1,3,8,1,4,Fully-Furnished,Independent House,Y,383.27
Sarjapur Road,648,3,3,2,19,5,7,Semi-Furnished,Apartment,N,42.07
Bellandur,2284,3,5,2,4,4,5,Fully-Furnished,Independent House,N,131.49
Whitefield,3639,2,4,1,13,2,3,Unfurnished,Apartment,Y,236.57
Koramangala,822,4,5,2,12,5,10,Fully-Furnished,Apartment,N,62.83
Marathahalli,4561,5,3,0,22,5,5,Semi-Furnished,Independent House,N,249.15
Whitefield,1557,4,5,1,15,5,7,Fully-Furnished,Apartment,Y,83.96
Kengeri,745,2,2,1,16,7,7,Semi-Furnished,Apartment,Y,33.46
Indiranagar,2783,4,3,1,17,1,1,Unfurnished,Independent House,N,202.36
JP Nagar,4392,4,4,2,18,9,9,Fully-Furnished,Independent House,Y,225.78
Whitefield,3755,1,5,0,7,5,6,Fully-Furnished,Apartment,Y,194.52
Malleswaram,4078,1,4,1,29,2,6,Unfurnished,Apartment,Y,238.84
Hebbal,2237,2,3,3,7,3,9,Fully-Furnished,Apartment,Y,164.85
Marathahalli,1653,5,2,0,11,4,7,Fully-Furnished,Independent House,Y,119.21
Indiranagar,1538,4,4,3,18,1,1,Unfurnished,Apartment,Y,99.62
Electronic City,2811,5,2,0,2,1,9,Fully-Furnished,Independent House,N,216.28
Whitefield,4062,3,4,2,20,7,10,Unfurnished,Independent House,Y,217.71
Basavanagudi,722,4,3,2,27,5,5,Unfurnished,Apartment,N,43.02
Whitefield,4228,4,1,1,5,3,8,Unfurnished,Apartment,N,275.14
Whitefield,609,4,2,1,11,2,8,Unfurnished,Apartment,N,47.02
Indiranagar,4092,5,3,3,6,1,1,Fully-Furnished,Apartment,Y,258.8
Basavanagudi,2251,4,3,0,19,3,3,Unfurnished,Apartment,N,90.83
Sarjapur Road,1307,1,4,2,24,2,7,Semi-Furnished,Apartment,N,94.86
Koramangala,3310,2,3,2,20,5,8,Semi-Furnished,Independent House,Y,213.49
Whitefield,981,5,5,0,22,1,1,Fully-Furnished,Apartment,N,77.51
Basavanagudi,3564,1,2,0,9,3,9,Fully-Furnished,Apartment,Y,236.33
Whitefield,3938,4,4,3,14,3,3,Unfurnished,Independent House,Y,175.83
Basavanagudi,2864,5,1,2,4,3,6,Fully-Furnished,Apartment,N,135.58
Bannerghatta Road,4579,2,4,1,27,3,7,Semi-Furnished,Independent House,N,206.55
Kengeri,2794,3,1,0,24,7,9,Unfurnished,Independent House,N,178.54
BTM Layout,2863,5,2,3,20,3,4,Fully-Furnished,Apartment,Y,143.44
Hebbal,1003,3,5,2,21,1,1,Unfurnished,Apartment,Y,68.04
Marathahalli,1355,5,3,2,15,2,2,Fully-Furnished,Apartment,Y,75.26
Whitefield,2924,4,1,2,6,1,7,Semi-Furnished,Independent House,N,164.78
Ulsoor,3745,1,5,1,27,1,3,Fully-Furnished,Independent House,Y,157.35
Bannerghatta Road,1208,4,5,3,17,2,2,Fully-Furnished,Apartment,Y,72.35
Malleswaram,4049,2,1,1,1,1,4,Semi-Furnished,Apartment,N,220.09
Jayanagar,3227,5,4,0,15,7,7,Fully-Furnished,Independent House,Y,307.23
Ulsoor,1846,5,2,0,18,2,2,Unfurnished,Apartment,N,102.58
BTM Layout,1591,1,3,3,19,2,4,Fully-Furnished,Apartment,Y,116.3
Bannerghatta Road,4774,5,2,1,29,2,5,Unfurnished,Independent House,Y,356.81
Bannerghatta Road,3857,1,3,2,4,6,10,Fully-Furnished,Apartment,Y,231.97
Malleshwaram,3086,3,1,0,2,5,10,Semi-Furnished,Apartment,Y,287.52
Rajajinagar,2661,2,4,3,29,2,4,Semi-Furnished,Independent House,N,143.2
Sarjapur Road,3759,5,2,0,1,4,6,Unfurnished,Apartment,Y,271.61
BTM Layout,804,5,3,2,24,6,6,Fully-Furnished,Independent House,Y,49.58
Bannerghatta Road,2215,2,2,2,28,1,1,Semi-Furnished,Independent House,Y,102.65
Indiranagar,4314,3,4,2,30,1,5,Unfurnished,Apartment,Y,354.24
HSR Layout,605,5,5,3,15,3,4,Unfurnished,Independent House,Y,29.21
Whitefield,1514,4,3,3,5,1,3,Fully-Furnished,Apartment,Y,100.96
Sarjapur Road,4850,2,2,0,22,5,6,Fully-Furnished,Independent House,Y,254.76
HSR Layout,1303,2,4,2,6,1,6,Semi-Furnished,Independent House,Y,57.59
Marathahalli,2442,1,3,1,17,5,6,Semi-Furnished,Apartment,N,118.96
Marathahalli,2341,4,2,3,15,1,7,Fully-Furnished,Independent House,N,136.87
Whitefield,4076,3,3,0,10,2,4,Unfurnished,Apartment,Y,305.64
Malleswaram,1782,4,5,0,24,7,10,Unfurnished,Independent House,N,131.31
Kengeri,4084,5,4,3,25,1,1,Unfurnished,Independent House,Y,269.73
Basavanagudi,2613,5,1,1,3,1,5,Unfurnished,Independent House,N,116.1
Sarjapur Road,4283,1,4,2,8,9,10,Unfurnished,Independent House,Y,258.08
Indiranagar,3102,4,5,0,16,8,8,Semi-Furnished,Apartment,N,225.18
Ulsoor,1479,4,5,1,13,4,10,Unfurnished,Apartment,N,116.74
Ulsoor,2110,3,2,2,25,1,9,Semi-Furnished,Apartment,N,122.16
Jayanagar,4384,5,2,0,26,4,4,Unfurnished,Apartment,Y,398.25
Rajajinagar,3433,4,4,1,3,2,3,Unfurnished,Independent House,Y,238.82
Ulsoor,2474,4,2,0,13,1,1,Semi-Furnished,Apartment,N,120.9
Ulsoor,2029,1,2,2,10,3,8,Semi-Furnished,Independent House,N,107.17
JP Nagar,1943,3,1,1,22,4,6,Fully-Furnished,Apartment,N,119.69
Bannerghatta Road,3154,3,3,2,12,1,9,Fully-Furnished,Apartment,N,156.17
Kengeri,1055,2,5,0,1,5,5,Semi-Furnished,Apartment,Y,57.42
Malleswaram,2401,3,4,2,27,4,4,Fully-Furnished,Independent House,Y,179.71
Bannerghatta Road,3018,2,1,1,0,1,6,Unfurnished,Independent House,Y,130.35
Bannerghatta Road,2296,4,4,3,24,1,5,Unfurnished,Independent House,Y,155.3
Bannerghatta Road,2509,2,4,1,9,6,6,Fully-Furnished,Apartment,Y,194.01
Hebbal,622,1,3,2,28,7,10,Semi-Furnished,Independent House,N,40.95
Kengeri,3590,4,5,2,5,4,6,Semi-Furnished,Apartment,N,235.24
Jayanagar,2356,3,5,2,27,10,10,Unfurnished,Independent House,N,123.56
HSR Layout,3945,1,4,3,7,2,2,Fully-Furnished,Apartment,N,174.96
Indiranagar,4647,5,5,1,10,1,6,Semi-Furnished,Apartment,Y,481.7
Whitefield,2370,1,4,1,19,1,2,Fully-Furnished,Apartment,N,173.58
Electronic City,1138,2,5,3,7,1,2,Semi-Furnished,Independent House,Y,69.85
Sarjapur Road,714,1,2,3,25,7,7,Unfurnished,Apartment,N,33.12
Electronic City,1825,5,5,3,29,4,5,Semi-Furnished,Apartment,Y,133.13
Hebbal,2532,1,3,2,25,1,4,Fully-Furnished,Apartment,Y,103.79
HSR Layout,2673,3,1,0,17,1,1,Fully-Furnished,Independent House,N,211.73
HSR Layout,3522,3,5,2,1,3,4,Unfurnished,Independent House,Y,203.59
Marathahalli,720,3,5,2,15,1,9,Fully-Furnished,Independent House,N,55.38
Sarjapur Road,4675,4,2,3,5,5,10,Fully-Furnished,Independent House,Y,331.93
Malleshwaram,4344,1,5,3,27,4,5,Fully-Furnished,Apartment,N,418.96
Bannerghatta Road,4372,2,1,0,5,7,10,Fully-Furnished,Apartment,N,234.97
Ulsoor,651,4,2,0,6,3,3,Fully-Furnished,Apartment,N,39.84
Whitefield,4550,4,1,2,1,1,2,Fully-Furnished,Apartment,N,253.33
JP Nagar,3391,3,3,1,28,4,4,Semi-Furnished,Apartment,N,199.81
Malleshwaram,1808,4,5,2,22,3,3,Fully-Furnished,Apartment,Y,178.06
Malleswaram,1677,4,4,2,19,1,1,Unfurnished,Apartment,Y,131.67
HSR Layout,2258,5,4,1,3,2,10,Semi-Furnished,Independent House,Y,149.75
Electronic City,610,4,3,2,3,8,8,Unfurnished,Independent House,Y,45.57
Whitefield,3530,5,1,0,26,1,1,Fully-Furnished,Apartment,Y,192.41
BTM Layout,2211,1,4,1,3,1,4,Semi-Furnished,Independent House,Y,147.07
Malleswaram,3986,4,2,1,23,1,1,Fully-Furnished,Independent House,N,183.39
Kengeri,1051,3,2,1,15,6,7,Fully-Furnished,Independent House,Y,66.46
Whitefield,3860,4,5,3,25,1,2,Fully-Furnished,Independent House,N,228.27
Electronic City,4289,3,1,2,15,1,6,Fully-Furnished,Apartment,Y,229.11
Hebbal,2670,2,4,1,12,2,2,Fully-Furnished,Independent House,N,142.2
Indiranagar,2224,2,4,2,12,1,7,Fully-Furnished,Independent House,N,165.92
HSR Layout,4877,2,2,2,29,1,2,Fully-Furnished,Independent House,Y,368.79
Sarjapur Road,2635,5,5,1,27,1,1,Unfurnished,Apartment,N,163.79
Malleswaram,3456,3,5,2,17,5,7,Semi-Furnished,Independent House,Y,145.86
Electronic City,4994,4,1,1,29,2,3,Fully-Furnished,Apartment,Y,327.02
Ulsoor,2696,2,4,2,2,2,5,Semi-Furnished,Independent House,N,155.43
Kengeri,1128,2,1,3,25,1,1,Unfurnished,Apartment,Y,77.61
JP Nagar,3714,5,5,3,20,1,6,Fully-Furnished,Independent House,N,221.02
Whitefield,1751,2,2,1,8,6,7,Semi-Furnished,Apartment,Y,121.52
Kengeri,1590,1,3,2,26,1,9,Semi-Furnished,Apartment,N,112.31
BTM Layout,4312,2,1,1,24,1,6,Fully-Furnished,Independent House,N,253.09
Koramangala,2915,1,2,3,27,1,1,Fully-Furnished,Apartment,N,254.34
Malleshwaram,2275,2,2,3,29,1,1,Semi-Furnished,Apartment,N,231.8
Marathahalli,1735,1,2,0,26,1,1,Semi-Furnished,Apartment,N,99.44
Kengeri,725,2,3,1,25,10,10,Unfurnished,Apartment,Y,45.25
JP Nagar,2243,1,4,3,2,3,8,Unfurnished,Apartment,Y,135.14
JP Nagar,4740,1,5,2,0,3,5,Unfurnished,Apartment,Y,214.33
Electronic City,4178,5,3,2,25,6,6,Unfurnished,Independent House,N,302.38
Bannerghatta Road,602,4,3,3,1,4,6,Fully-Furnished,Independent House,Y,35.14
Bellandur,984,3,1,0,4,1,3,Semi-Furnished,Independent House,Y,47.19
Bannerghatta Road,3732,5,5,3,10,1,1,Unfurnished,Independent House,N,282.51
HSR Layout,2748,3,5,1,3,1,5,Fully-Furnished,Apartment,Y,211.73
Koramangala,2563,1,3,0,29,1,4,Semi-Furnished,Independent House,Y,155.95
Jayanagar,965,1,5,2,29,4,4,Semi-Furnished,Apartment,Y,99.56
Bellandur,1417,1,1,0,26,7,10,Unfurnished,Independent House,Y,113.15
Indiranagar,4433,3,1,1,17,4,4,Semi-Furnished,Apartment,N,361.56
Rajajinagar,2637,4,1,3,30,6,7,Unfurnished,Independent House,N,176.43
Bannerghatta Road,3630,2,1,2,17,3,10,Semi-Furnished,Independent House,N,262.12
Bellandur,3980,2,5,0,23,1,1,Semi-Furnished,Apartment,N,296.27
Kengeri,1307,2,5,3,22,2,2,Fully-Furnished,Independent House,N,74.49
Malleswaram,1188,5,1,3,2,2,2,Semi-Furnished,Apartment,N,47.58
Malleswaram,4858,4,3,0,25,2,2,Fully-Furnished,Independent House,N,348.91
Bellandur,1138,1,4,2,4,1,2,Semi-Furnished,Independent House,Y,46.5
Koramangala,1718,5,2,2,18,1,9,Unfurnished,Apartment,Y,170.89
Whitefield,4023,2,5,2,26,4,5,Semi-Furnished,Apartment,N,320.31
Bellandur,4827,1,5,2,14,9,9,Unfurnished,Independent House,N,353.12
Whitefield,4673,3,3,3,25,1,1,Fully-Furnished,Apartment,N,192.08
Hebbal,3239,5,5,1,7,4,8,Semi-Furnished,Apartment,N,186.19
Basavanagudi,2007,3,2,2,0,6,9,Semi-Furnished,Independent House,N,81.66
Whitefield,2935,1,3,0,5,8,10,Fully-Furnished,Apartment,Y,207.85
Indiranagar,2292,4,2,3,19,7,10,Unfurnished,Independent House,N,169.43
HSR Layout,3939,2,2,0,3,4,5,Fully-Furnished,Apartment,Y,302.58
Basavanagudi,1249,3,3,1,8,3,9,Semi-Furnished,Apartment,N,93.02
Basavanagudi,1525,2,1,0,28,1,2,Unfurnished,Apartment,N,90.23
Malleshwaram,2226,1,2,3,0,3,9,Unfurnished,Apartment,N,177.78
Basavanagudi,3091,4,2,1,24,1,4,Fully-Furnished,Apartment,N,168.64
Bannerghatta Road,3913,4,1,2,2,5,8,Fully-Furnished,Independent House,N,176.64
Bellandur,3455,5,5,2,26,4,6,Semi-Furnished,Independent House,Y,238.51
Basavanagudi,2581,5,1,0,14,2,4,Semi-Furnished,Independent House,N,156.75
Marathahalli,1935,1,2,2,16,1,2,Fully-Furnished,Apartment,Y,89.28
Sarjapur Road,4838,4,4,3,5,1,1,Fully-Furnished,Apartment,N,253.07
Marathahalli,1751,4,2,1,8,2,5,Fully-Furnished,Apartment,N,95.21
JP Nagar,2478,3,4,0,16,5,10,Fully-Furnished,Apartment,Y,175.89
Hebbal,1022,5,3,2,13,1,6,Semi-Furnished,Independent House,N,44.58
Ulsoor,1042,3,2,3,17,1,1,Unfurnished,Apartment,N,68.38
Ulsoor,3468,4,3,2,30,4,4,Unfurnished,Independent House,N,232.66
Koramangala,666,4,5,2,1,8,10,Fully-Furnished,Independent House,Y,66.56
Bellandur,4480,5,2,3,12,2,2,Fully-Furnished,Apartment,Y,286.09
Jayanagar,3556,4,3,3,17,1,2,Fully-Furnished,Independent House,N,357.58
Koramangala,2632,3,3,3,18,1,1,Semi-Furnished,Apartment,N,185.95
Indiranagar,2642,3,2,1,4,7,8,Semi-Furnished,Apartment,N,230.59
Ulsoor,3953,5,2,0,1,2,4,Unfurnished,Apartment,N,287.38
Bellandur,4509,4,5,3,10,6,8,Semi-Furnished,Apartment,Y,182.6
Kengeri,4399,2,3,1,13,2,8,Semi-Furnished,Apartment,Y,281.37
Koramangala,1497,1,3,0,20,1,3,Fully-Furnished,Independent House,Y,80.38
Kengeri,1188,4,3,3,21,2,3,Unfurnished,Independent House,Y,86.56
Indiranagar,2074,4,4,0,1,10,10,Unfurnished,Apartment,N,133.51
Malleswaram,4932,5,3,0,24,7,9,Unfurnished,Independent House,Y,369.12
Malleswaram,2368,2,2,0,11,5,5,Semi-Furnished,Apartment,N,187.81
HSR Layout,4372,5,3,0,13,6,6,Unfurnished,Independent House,Y,348.19
Basavanagudi,2092,4,5,1,6,6,7,Fully-Furnished,Independent House,N,132.48
Kengeri,4192,4,4,3,3,1,5,Fully-Furnished,Independent House,N,211.02
Whitefield,1374,1,2,3,23,9,10,Semi-Furnished,Independent House,Y,90.04
Marathahalli,3195,4,2,1,5,1,5,Semi-Furnished,Apartment,Y,205.19
Marathahalli,1746,5,1,1,10,6,8,Fully-Furnished,Apartment,Y,80.49
Rajajinagar,1346,1,4,2,27,1,5,Fully-Furnished,Independent House,Y,67.41
Basavanagudi,1993,1,3,1,26,1,1,Unfurnished,Apartment,N,88.75
Malleswaram,1751,3,1,2,26,3,4,Unfurnished,Independent House,N,119.86
Rajajinagar,4117,4,5,0,7,1,4,Fully-Furnished,Apartment,Y,232.31
HSR Layout,2209,1,1,0,20,1,2,Fully-Furnished,Apartment,Y,123.0
BTM Layout,1754,2,2,2,2,1,6,Fully-Furnished,Apartment,Y,76.88
Sarjapur Road,2945,5,3,3,18,1,1,Semi-Furnished,Independent House,Y,197.63
HSR Layout,1671,2,3,3,19,2,10,Fully-Furnished,Independent House,Y,80.11
Basavanagudi,4328,3,5,0,14,1,5,Semi-Furnished,Apartment,Y,278.69
BTM Layout,1953,5,5,0,27,6,7,Fully-Furnished,Apartment,Y,140.31
Rajajinagar,995,2,2,1,11,1,7,Unfurnished,Apartment,N,59.22
JP Nagar,2597,5,4,3,22,1,4,Unfurnished,Independent House,N,172.49
Koramangala,3238,4,3,3,15,1,4,Fully-Furnished,Apartment,N,201.08
Marathahalli,4241,1,2,0,9,7,9,Semi-Furnished,Apartment,N,273.93
Electronic City,2130,5,5,3,15,3,3,Fully-Furnished,Independent House,N,150.78
Basavanagudi,1385,2,2,0,21,7,8,Unfurnished,Independent House,N,60.92
HSR Layout,760,3,5,1,6,5,5,Fully-Furnished,Apartment,N,35.93
Koramangala,3500,1,5,3,17,3,6,Fully-Furnished,Independent House,Y,280.24
Ulsoor,4070,5,5,0,30,3,5,Fully-Furnished,Independent House,N,185.84
Koramangala,4941,5,5,2,29,8,9,Semi-Furnished,Independent House,N,382.48
JP Nagar,1429,2,5,2,7,3,6,Fully-Furnished,Independent House,Y,62.33
Basavanagudi,4227,2,3,2,23,5,7,Fully-Furnished,Apartment,Y,331.98
Hebbal,2825,4,5,2,28,1,2,Unfurnished,Independent House,Y,160.38
HSR Layout,3567,1,1,0,13,5,6,Unfurnished,Independent House,Y,218.65
Ulsoor,2251,4,5,3,0,2,3,Fully-Furnished,Independent House,Y,145.77
JP Nagar,2573,4,5,1,28,6,7,Unfurnished,Apartment,N,194.29
Basavanagudi,4248,4,4,0,20,3,4,Fully-Furnished,Apartment,Y,171.89
Kengeri,4252,2,4,2,22,8,8,Fully-Furnished,Apartment,Y,275.35
BTM Layout,4138,5,5,3,7,2,3,Fully-Furnished,Apartment,N,183.13
Koramangala,1687,1,2,3,3,4,4,Fully-Furnished,Independent House,N,93.68
Bellandur,795,1,2,3,12,2,7,Semi-Furnished,Apartment,Y,47.21
Basavanagudi,2759,1,1,0,12,4,4,Unfurnished,Independent House,Y,186.32
Ulsoor,3509,5,1,2,6,4,6,Semi-Furnished,Apartment,Y,243.09
Rajajinagar,2605,2,5,2,12,1,2,Fully-Furnished,Independent House,Y,150.64
Malleswaram,4033,4,3,3,26,3,10,Semi-Furnished,Independent House,N,249.18
Electronic City,2513,2,2,2,17,1,2,Fully-Furnished,Apartment,Y,158.04
Bellandur,3856,5,3,0,13,6,8,Semi-Furnished,Apartment,N,256.99
Bellandur,2804,3,2,3,3,1,4,Unfurnished,Independent House,Y,157.5
Yelahanka,3682,4,1,2,16,4,7,Fully-Furnished,Independent House,Y,195.65
Marathahalli,4779,2,2,2,27,3,4,Semi-Furnished,Apartment,N,373.8
Kengeri,3994,2,3,2,11,4,5,Fully-Furnished,Independent House,Y,224.73
HSR Layout,1015,2,3,3,28,2,9,Unfurnished,Apartment,N,63.76
Basavanagudi,940,5,4,2,15,3,3,Semi-Furnished,Apartment,N,64.21
Yelahanka,4908,5,2,0,17,2,10,Semi-Furnished,Independent House,N,353.24
Ulsoor,1511,5,3,1,13,1,1,Semi-Furnished,Apartment,Y,85.19
BTM Layout,2419,2,4,2,17,1,1,Semi-Furnished,Independent House,Y,170.31
Yelahanka,2707,1,4,3,14,8,10,Unfurnished,Apartment,N,212.79
Koramangala,4605,4,2,2,16,4,5,Unfurnished,Independent House,Y,356.98
JP Nagar,3378,5,3,1,4,1,2,Fully-Furnished,Apartment,Y,220.41
BTM Layout,1002,5,1,0,23,5,8,Semi-Furnished,Apartment,N,77.04
Malleshwaram,4328,5,5,3,7,4,8,Unfurnished,Apartment,N,250.65
Basavanagudi,3420,4,3,0,24,2,4,Fully-Furnished,Apartment,Y,138.65
Kengeri,1625,5,2,1,30,2,3,Semi-Furnished,Apartment,Y,112.6
Jayanagar,2797,2,3,0,6,3,4,Fully-Furnished,Independent House,N,248.44
Kengeri,3838,5,4,3,14,1,1,Semi-Furnished,Independent House,Y,185.28
Malleshwaram,2176,1,3,2,12,1,3,Semi-Furnished,Apartment,Y,152.28
Ulsoor,1367,1,5,1,23,1,1,Semi-Furnished,Apartment,Y,85.99
Rajajinagar,4614,2,1,1,3,5,6,Fully-Furnished,Apartment,Y,336.4
Bannerghatta Road,814,1,2,2,16,2,10,Semi-Furnished,Independent House,Y,47.48
Kengeri,1545,2,3,0,17,6,6,Fully-Furnished,Independent House,N,76.87
Koramangala,3352,4,1,3,11,3,3,Semi-Furnished,Apartment,N,298.99
Bellandur,2572,5,1,1,26,1,7,Semi-Furnished,Independent House,N,120.65
HSR Layout,1623,2,4,3,25,1,2,Fully-Furnished,Independent House,Y,82.14
Marathahalli,845,3,1,3,19,2,3,Semi-Furnished,Independent House,Y,36.56
Ulsoor,3593,4,4,2,8,1,3,Unfurnished,Apartment,N,218.4
Malleshwaram,3869,2,4,3,16,3,4,Semi-Furnished,Apartment,Y,397.4
Whitefield,1868,2,2,2,15,7,7,Unfurnished,Independent House,Y,142.34
Malleswaram,4923,1,4,0,29,1,3,Unfurnished,Independent House,Y,292.75
Rajajinagar,4184,4,3,3,3,5,5,Fully-Furnished,Apartment,N,219.93
Ulsoor,2149,4,3,3,9,4,4,Unfurnished,Independent House,Y,137.99
Electronic City,3580,2,1,0,25,2,3,Semi-Furnished,Independent House,N,149.2
Rajajinagar,4966,2,3,0,11,2,6,Fully-Furnished,Apartment,N,337.43
Rajajinagar,975,2,5,0,24,2,7,Fully-Furnished,Independent House,N,60.53
Sarjapur Road,703,1,5,2,18,2,8,Semi-Furnished,Independent House,Y,29.69
Kengeri,1786,5,5,3,4,4,9,Fully-Furnished,Apartment,N,73.52
Ulsoor,4105,2,4,2,14,7,7,Unfurnished,Apartment,Y,170.29
Malleswaram,1672,3,2,0,8,1,9,Unfurnished,Independent House,Y,108.19
Hebbal,891,5,2,1,9,1,3,Semi-Furnished,Apartment,N,62.49
Bellandur,2070,3,5,0,6,1,3,Unfurnished,Apartment,Y,139.23
Koramangala,3101,5,5,3,6,1,7,Unfurnished,Independent House,N,161.6
BTM Layout,2217,1,4,0,18,4,5,Fully-Furnished,Apartment,N,160.69
